
 Lista de Imóveis da Caixa;;Data de geração:;28/03/2025;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787708934793 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA 100, N. SN, Apto 202, BL 14 LT 102 ;173.526,24;157.000,00;0.00;Apartamento, 0.00 de área total, 44.96 de área privativa, 0.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787708934793
 8787707756980 ;DF ;BRASILIA ;SAMAMBAIA SUL (SAMAMBAIA) ;Q QUADRA 302 CONJ 6 LOTE, N. 1, Apto 1007, TORRE 2, LT 1, QD 32 ;200.243,53;181.000,00;0.00;Apartamento, 0.00 de área total, 29.90 de área privativa, 0.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707756980
 8787701377643 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. SN, Apto 302, BL-E ;166.508,16;139.000,00;0.00;Apartamento, 0.00 de área total, 45.17 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787701377643
 8787707267882 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ; RUA 200, N. 201, Apto 104, BL 22, LT 201 ;219.188,64;180.000,00;0.00;Apartamento, 0.00 de área total, 70.75 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787707267882
 8787705020774 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;AVENIDA MONUMENTAL, N. S/N, Apto 304, BL J LT 7 COND 09 ;171.583,68;140.000,00;0.00;Apartamento, 0.00 de área total, 45.17 de área privativa, 36841.26 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8787705020774
 8555503350713 ;DF ;BRASILIA ;SETOR MEIRELES (SANTA MARIA) ;RUA RUA 500, N. SN, Apto 404, BL E LT 502 ;251.563,28;168.000,00;0.00;Apartamento, 0.00 de área total, 44.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8555503350713
 8444407632779 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNP 32, N. SN, CONJ S LT 30 ;239.628,14;239.628,14;0.00;Casa, 0.00 de área total, 33.05 de área privativa, 135.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=8444407632779
 1444408651612 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNP 15, N. S/N, LT.37 CONJ.P ;247.000,00;247.000,00;0.00;Casa, 0.00 de área total, 26.32 de área privativa, 135.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408651612
 1555514335631 ;DF ;CEILANDIA ;CEILANDIA NORTE ;QNP 15, N. SN, CJ L  LT 05 ;266.000,00;266.000,00;0.00;Casa, 0.00 de área total, 26.32 de área privativa, 135.00 de área do terreno,  3 qto(s), a.serv, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1555514335631
 1444408133360 ;DF ;CEILANDIA ;CEILANDIA SUL ;QNN 10, N. SN, Q36 CONJ.F ;345.345,56;344.000,00;0.00;Casa, 0.00 de área total, 144.00 de área privativa, 144.00 de área do terreno,  1 qto(s), WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnOrigem=index&hdnimovel=1444408133360
